profile,food_name,occurrence_count,source_diet_count,lexical_risk_hits,review_status,decision,ingredient_evidence,reviewer,review_date
vegetariana,"Abacate, polpa, in natura",22,21,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Abacaxi, polpa, in natura",22,22,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal",21,21,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal",34,33,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Abóbora, moranga, refogada (c/ óleo, cebolha e alho), c/ sal",25,25,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal",13,13,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal",10,10,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Acelga, crua",9,9,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Achocolatado, pó (média diferentes amostras)",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Alface, crua",63,47,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Almeirão, cru",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Amendoim, grão, cru",18,17,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Amendoim, torrado, c/ sal",21,20,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Amêndoa, torrada, c/ sal",26,26,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Arroz com brócolis, c/ arroz polido, c/ sal",9,8,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Arroz, integral, cozido, c/ óleo, cebolha e alho, c/ sal",139,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Arroz, polido, cozido, c/ óleo, cebola e alho, c/ sal",40,32,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Aveia, crua (média de diferentes tipos)",66,50,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Azeite, oliva",7,6,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Azeitona, verde, conserva, drenada",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Banana, da terra, assada, s/ adição de ingredientes",6,6,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Banana, in natura",58,49,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Batata baroa (mandioquinha, batata salsa), cozida, drenada, s/ óleo, c/ sal",2,2,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Batata, doce, s/ casca, cozida, drenada, s/ óleo, c/ sal",47,45,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Batata, inglesa, s/ casca, assada, s/ óleo, c/ sal",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Batata, inglesa, sauté (c/ margarina e salsa), c/ sal",6,6,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Bebida, café - infusão 8% - média, c/ leite (meio a meio), ""média"", s/ açúcar",10,10,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Bebida, café, infusão 10%, s/ açúcar",80,49,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Bebida, café, infusão 8% - médio, s/ açúcar",9,8,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Bebida, capuccino tradicional (leite desnatado, café - infusão 10% e canela em pó), s/ açúcar",2,2,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Bebida, chá, infusão, s/ açúcar (média de várias ervas)",10,10,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Bebida, chá, mate, infusão 5%, s/ açúcar",2,2,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Bebida, chá, preto, infusão 5%, s/ açúcar",4,4,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Bebida, infusão, hortelã rasteira, planta, folha, s/ açúcar",8,8,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Bebida, refresco, em pó, preparado, c/ água",3,3,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Beringela, c/ casca, cozida, drenada, s/ óleo, c/ sal",1,1,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Berinjela recheada, c/ muçarela, c/ vegetais, c/ sal",5,5,{},PENDING_INGREDIENT_VERIFICATION,,,,
vegetariana,"Berinjela, c/ casca, grelhada, s/ gordura, c/ sal",21,21,{},PENDING_INGREDIENT_VERIFICATION,,,,
